team,season,week,l5_qb_epa
NE,2021,3,2.8808485865592957
NE,2021,4,-0.3920402526855469
NE,2021,5,0.8709768772125244
NE,2021,6,0.5262346744537354
NE,2021,7,-2.8399466991424562
NE,2021,8,1.1242769718170167
NE,2021,9,4.071460151672364
NE,2021,10,2.845621395111084
NE,2021,11,4.314446353912354
NE,2021,12,4.644380712509156
NE,2021,15,4.424153661727905
NE,2021,16,4.702058947086334
NE,2021,17,4.804833567142486
NE,2021,18,5.010220682621002
NE,2022,1,5.835884177684784
NE,2022,2,2.068862998485565
NE,2022,3,3.2550332307815553
NE,2022,4,4.050521719455719
NE,2022,5,-0.34361833333969116
NE,2022,6,0.671643054485321
NE,2022,7,3.252115046977997
NE,2022,8,1.7130993723869323
NE,2022,9,0.1281559944152832
NE,2022,11,-0.5897095680236817
NE,2022,12,-2.1584455966949463
NE,2022,13,-2.680222749710083
NE,2022,14,-2.022122251987457
NE,2022,15,-1.0602847695350648
NE,2022,16,-1.4831172585487367
NE,2022,17,-0.7409754395484924
NE,2022,18,-2.5392863392829894
NE,2023,1,-2.8467819333076476
NE,2023,2,-3.731950581073761
NE,2023,3,-2.114774477481842
NE,2023,4,-1.5119189381599427
NE,2023,5,-3.4419277787208555
NE,2023,6,-7.023693704605103
NE,2023,7,-6.328804302215576
NE,2023,8,-3.2055829524993897
NE,2023,9,-6.118578767776489
NE,2023,10,-4.756282377243042
NE,2023,12,-1.7448719501495362
NE,2023,13,-3.0899374008178713
NE,2023,14,-8.881795310974121
NE,2023,15,-6.796552681922913
NE,2023,16,-8.174179196357727
NE,2023,17,-6.81415364742279
NE,2023,18,-7.248282790184021
NE,2024,1,-9.654125571250916
NE,2024,2,-10.307777810096741
NE,2024,3,-7.758139905333519
NE,2024,4,-10.587257346510887
NE,2024,5,-11.324445685744285
NE,2024,6,-7.536262854933739
NE,2024,7,-9.098660168051719
NE,2024,8,-7.502481746673584
NE,2024,9,-4.970468163490295
NE,2024,10,-4.09492552280426
NE,2024,11,-2.6001532316207885
NE,2024,12,1.5749165773391725
NE,2024,13,-2.467674994468689
NE,2024,15,-1.4584256649017333
NE,2024,16,1.5070827960968018
NE,2024,17,2.610788440704346
NE,2024,18,-2.6160944938659667
NO,2010,3,5.390425682067871
NO,2010,4,6.464448928833008
NO,2010,5,6.648720026016235
